date,country,is_public_holiday,shopping_season,season_intensity,is_shopping_season,major_event,is_major_event,days_to_next_holiday,day_of_week,is_weekend,month,quarter,is_month_start,is_month_end
2022-01-01,USA,1,New Year Sales,2,1,,0,14.0,5,1,1,1,1,0
2022-01-01,UK,1,New Year Sales,2,1,,0,87.0,5,1,1,1,1,0
2022-01-01,Germany,1,New Year Sales,2,1,,0,120.0,5,1,1,1,1,0
2022-01-01,Canada,1,New Year Sales,2,1,,0,181.0,5,1,1,1,1,0
2022-01-01,India,0,New Year Sales,2,1,,0,25.0,5,1,1,1,1,0
2022-01-01,UAE,1,New Year Sales,2,1,,0,335.0,5,1,1,1,1,0
2022-01-01,Australia,1,New Year Sales,2,1,,0,25.0,5,1,1,1,1,0
2022-01-02,USA,0,New Year Sales,2,1,,0,13.0,6,1,1,1,1,0
2022-01-02,UK,0,New Year Sales,2,1,,0,86.0,6,1,1,1,1,0
2022-01-02,Germany,0,New Year Sales,2,1,,0,119.0,6,1,1,1,1,0
2022-01-02,Canada,0,New Year Sales,2,1,,0,180.0,6,1,1,1,1,0
2022-01-02,India,0,New Year Sales,2,1,,0,24.0,6,1,1,1,1,0
2022-01-02,UAE,0,New Year Sales,2,1,,0,334.0,6,1,1,1,1,0
2022-01-02,Australia,0,New Year Sales,2,1,,0,24.0,6,1,1,1,1,0
2022-01-03,USA,0,New Year Sales,2,1,,0,12.0,0,0,1,1,1,0
2022-01-03,UK,0,New Year Sales,2,1,,0,85.0,0,0,1,1,1,0
2022-01-03,Germany,0,New Year Sales,2,1,,0,118.0,0,0,1,1,1,0
2022-01-03,Canada,0,New Year Sales,2,1,,0,179.0,0,0,1,1,1,0
2022-01-03,India,0,New Year Sales,2,1,,0,23.0,0,0,1,1,1,0
2022-01-03,UAE,0,New Year Sales,2,1,,0,333.0,0,0,1,1,1,0
2022-01-03,Australia,0,New Year Sales,2,1,,0,23.0,0,0,1,1,1,0
2022-01-04,USA,0,New Year Sales,2,1,,0,11.0,1,0,1,1,0,0
2022-01-04,UK,0,New Year Sales,2,1,,0,84.0,1,0,1,1,0,0
2022-01-04,Germany,0,New Year Sales,2,1,,0,117.0,1,0,1,1,0,0
2022-01-04,Canada,0,New Year Sales,2,1,,0,178.0,1,0,1,1,0,0
2022-01-04,India,0,New Year Sales,2,1,,0,22.0,1,0,1,1,0,0
2022-01-04,UAE,0,New Year Sales,2,1,,0,332.0,1,0,1,1,0,0
2022-01-04,Australia,0,New Year Sales,2,1,,0,22.0,1,0,1,1,0,0
2022-01-05,USA,0,New Year Sales,2,1,,0,10.0,2,0,1,1,0,0
2022-01-05,UK,0,New Year Sales,2,1,,0,83.0,2,0,1,1,0,0
2022-01-05,Germany,0,New Year Sales,2,1,,0,116.0,2,0,1,1,0,0
2022-01-05,Canada,0,New Year Sales,2,1,,0,177.0,2,0,1,1,0,0
2022-01-05,India,0,New Year Sales,2,1,,0,21.0,2,0,1,1,0,0
2022-01-05,UAE,0,New Year Sales,2,1,,0,331.0,2,0,1,1,0,0
2022-01-05,Australia,0,New Year Sales,2,1,,0,21.0,2,0,1,1,0,0
2022-01-06,USA,0,New Year Sales,2,1,,0,9.0,3,0,1,1,0,0
2022-01-06,UK,0,New Year Sales,2,1,,0,82.0,3,0,1,1,0,0
2022-01-06,Germany,0,New Year Sales,2,1,,0,115.0,3,0,1,1,0,0
2022-01-06,Canada,0,New Year Sales,2,1,,0,176.0,3,0,1,1,0,0
2022-01-06,India,0,New Year Sales,2,1,,0,20.0,3,0,1,1,0,0
2022-01-06,UAE,0,New Year Sales,2,1,,0,330.0,3,0,1,1,0,0
2022-01-06,Australia,0,New Year Sales,2,1,,0,20.0,3,0,1,1,0,0
2022-01-07,USA,0,New Year Sales,2,1,,0,8.0,4,0,1,1,0,0
2022-01-07,UK,0,New Year Sales,2,1,,0,81.0,4,0,1,1,0,0
2022-01-07,Germany,0,New Year Sales,2,1,,0,114.0,4,0,1,1,0,0
2022-01-07,Canada,0,New Year Sales,2,1,,0,175.0,4,0,1,1,0,0
2022-01-07,India,0,New Year Sales,2,1,,0,19.0,4,0,1,1,0,0
2022-01-07,UAE,0,New Year Sales,2,1,,0,329.0,4,0,1,1,0,0
2022-01-07,Australia,0,New Year Sales,2,1,,0,19.0,4,0,1,1,0,0
2022-01-08,USA,0,New Year Sales,2,1,,0,7.0,5,1,1,1,0,0
2022-01-08,UK,0,New Year Sales,2,1,,0,80.0,5,1,1,1,0,0
2022-01-08,Germany,0,New Year Sales,2,1,,0,113.0,5,1,1,1,0,0
