date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS
2024-01-21,Google Ads,Search,Fintech,UAE,59886.0,2113.0,0.0353,1.26,2662.38,159.0,16.74,4803.43,1.8
2024-01-22,TikTok Ads,Search,EdTech,UK,135608.0,5220.0,0.0385,1.18,6159.6,411.0,14.99,64126.68,10.41
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313.0,5991.0,0.0649,0.85,5092.35,267.0,19.07,10489.07,2.06
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953.0,5935.0,0.0707,1.32,7834.2,296.0,26.47,50505.07,6.45
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807.0,4489.0,0.0489,1.93,8663.77,107.0,80.97,3369.53,0.39
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666.0,724.0,0.041,0.37,267.88,23.0,11.65,5220.85,19.49
2024-08-14,Meta Ads,Video,Fintech,USA,118252.0,3748.0,0.0317,0.42,1574.16,152.0,10.36,12838.56,8.16
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939.0,5176.0,0.0557,0.66,3416.16,388.0,8.8,96298.69,28.19
2024-04-17,Meta Ads,Display,EdTech,Germany,30939.0,937.0,0.0303,0.59,552.83,63.0,8.78,16531.03,29.9
2024-11-13,Google Ads,Shopping,Fintech,USA,8748.0,362.0,0.0414,1.21,438.02,10.0,43.8,966.57,2.21
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264.0,3144.0,0.032,1.56,4904.64,129.0,38.02,23127.27,4.72
2024-09-11,Meta Ads,Video,Fintech,Canada,173229.0,5092.0,0.0294,1.72,8758.24,65.0,134.74,12320.17,1.41
2024-05-26,Meta Ads,Video,SaaS,Canada,147483.0,2138.0,0.0145,0.57,1218.66,159.0,7.66,42434.18,34.82
2024-02-29,Google Ads,Shopping,SaaS,USA,116472.0,4006.0,0.0344,2.68,10736.08,291.0,36.89,78428.38,7.31
