feature,ks_statistic,p_value
is_public_holiday,0.5304,0.0
is_month_end,0.5289,0.0
is_month_start,0.5225,0.0
exchange_rate_usd,0.5027,0.0
is_major_event,0.5011,0.0
has_cta,0.501,0.0
platform_event_impact,0.4648,0.0
is_weekend,0.4548,0.0
is_retargeting,0.439,0.0
is_lookalike,0.4212,0.0
trend_momentum,0.4083,0.0
is_shopping_season,0.407,0.0
is_video,0.3689,0.0
platform_growth_index,0.3528,0.0
video_length_sec,0.3104,0.0
season_intensity,0.2578,0.0
num_products_shown,0.2245,0.0
CPC,0.1896,0.0
funnel_steps,0.1821,0.0
audience_size,0.1813,0.0
CTR,0.1746,0.0
unemployment_rate,0.1642,0.0
days_to_next_holiday,0.1602,0.0
cpc_vs_industry_avg,0.1536,0.0
gdp_growth_pct,0.1282,0.0
ROAS,0.1273,0.0
CPA,0.1251,0.0
creative_impact_factor,0.1239,0.0
cpi_index,0.115,0.0
revenue,0.1097,0.0
auction_density,0.1055,0.0
ad_spend,0.1051,0.0
cpi_yoy_pct,0.0846,0.0
competition_index,0.0822,0.0
conversions,0.0803,0.0
avg_session_duration,0.0755,0.0
industry_avg_cpc,0.0695,0.0
impressions,0.0572,0.0
clicks,0.0556,0.0
copy_sentiment,0.0546,0.0
trend_index,0.0495,0.0
bounce_rate,0.0483,0.0
headline_length,0.0433,0.0002
landing_page_load_time,0.04,0.0007
